video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=ay48GcGG8Sg&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@StructuresUnchained,Structures Unchained,Seattle Megaprojects: 5 Projects that will change America in 2026,76K,3 months,"Seattle is changing — not slowly, but all at once. Across the skyline, cranes rise over rail tunnels, floating bridges stretch across ...",45:14.2
/watch?v=yvKDPs496C4&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@YetAnotherUrbanist,Yet Another Urbanist,I Am Finally Leaving Reno | Why I Chose Seattle,69K,2 years,"In July, I am going to move from Reno to Seattle, so for this video, I want to discuss how I wound up in Reno and why I would ...",45:14.2
/shorts/k6MoHEsZiTg,/@j-manexplores,J-Man Explores,Route 24 - Ranking Every King County Metro Route #transit #seattle #transit,1.1K,2 months,"I'm on a mission to ride every King County Metro route. In today's episode, I'm riding Route 24 from Fort Lawton in Magnolia to 3rd ...",45:14.2
/watch?v=-Mh1UctlSOg&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CityNerd,Ray Delahanty | CityNerd,"On the Right Track: The 10 Most Improved Cities In the U.S. for Transit, Walking, and Biking",613K,3 years,Today we're looking at the United States' most improved cities when it comes to reducing car dependency. I used census data ...,45:14.2
/watch?v=hWGnfeFX93k&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@loganb.1984,Loganb jpg,SODO: An Urban Paradox| Duwamish Mud Flats |A Seattle neighborhood,567,10 months,This is a video about the SODO and the Duwamish Mud Flats All my citations in [brackets] on screen and the numbers correlate to ...,45:14.2
/watch?v=Vj0r0SAZp6Q&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@LivinginSeattlewithSean,Living in Seattle with Sean McConnell,The Seattle Housing Market Just SHIFTED (Here’s Why),39K,4 months,"Seattle's housing market just shifted dramatically. Homes that got 10 offers last year now get 2; days-on-market jumped 50%, and ...",45:14.2
/watch?v=3kjN1Cadu8o&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@UrbanistAriel,Urbanist,Exploring Seattle's Fremont (The Self-Proclaim Center of the Universe),3.9K,Streamed 3 years,Let's explore Seattle Washington LIVE walking and exploring Fremont. Join us as we find the best things to do in Pacific Northwest ...,45:14.2
/watch?v=PTWglEATamI&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@CascadePBS,Cascade PBS,Do you have to be rich to buy a house in Seattle? | Crosscut Now: Special Reports,321,3 years,"Seattle has consistently been one of the fastest growing cities in the U.S., causing housing prices to skyrocket. Seattle City ...",45:14.2
/watch?v=PrY6X8zho_8&pp=ygUQc2VhdHRsZSB1cmJhbmlzbdIHCQlPCgGHKiGM7w%3D%3D,/@UrbanistAriel,Urbanist,Exploring Seattle's Former Nordic Neighborhood of Ballard,4.5K,Streamed 3 years,Let's explore Seattle Washington LIVE walking and exploring The Smith Tower. Join us as we find the best things to do in Pacific ...,45:14.2
/watch?v=ZabaKdmynF8&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@OhTheUrbanity,Oh The Urbanity!,Top 10 Most Urbanist Cities in North America,177K,2 years,"What are the most “urbanist” cities in North America, the places you might gravitate to if you enjoy dense, lively, mixed-use ...",45:14.3
/shorts/0U86obCuwOE,/@YetAnotherUrbanist,Yet Another Urbanist,Seattle's Bike Network is Frustrating,18K,2 years,I hate flex posts.,45:14.3
/shorts/Igirq4xB_vo,/@j-manexplores,J-Man Explores,Route 106 - Ranking Every King County Metro Route #transit #seattle #tierlist,2K,3 months,"In this series, I subjectively rate each King County Metro route. In today's episode, we will be ranking Route 106. The route ...",45:14.3
/watch?v=9z2JTzFeGBQ&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@TheUrbanist,The Urbanist,Urbanist Talk with Seattle Councilmember Andrew Lewis,261,2 years,"Councilmember Lewis talks housing, homelessness, public safety, pedestrianization, and more.",45:14.3
/shorts/SwBRnFmm8nQ,/@j-manexplores,J-Man Explores,Route 75 - Ranking Every King County Metro Route #transit #seattle #tierlist,1.2K,3 months,"In this series, I subjectively rate each King County Metro route. In today's episode, we will be ranking Route 75. Route 75 starts ...",45:21.5
/watch?v=Y3m_8XwBkcg&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@UrbanistAriel,Urbanist,Exploring Downtown Seattle and the Historic District,5.6K,Streamed 3 years,Let's explore Seattle Washington LIVE walking and exploring The Smith Tower. Join us as we find the best things to do in Pacific ...,45:21.5
/shorts/woYlSasQnnQ,/@j-manexplores,J-Man Explores,Route 45 - Ranking Every King County Metro Route #transit #seattle #tierlist,1.3K,3 months,"In this series, I subjectively rate each King County Metro route. In today's episode, we will be ranking Route 45. The route ...",45:21.5
/watch?v=uCo2PczOH0Q&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@UrbanistAriel,Urbanist,Exploring Seattle's U-District to Columbia Road,5.4K,Streamed 3 years,Let's explore Seattle Washington LIVE walking and exploring The Smith Tower. Join us as we find the best things to do in Pacific ...,45:21.5
/watch?v=Ku1oi0RePHk&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@UrbanistAriel,Urbanist,Exploring Seattle from Columbia Tower to Bay Cruise,6K,Streamed 3 years,Let's explore Seattle Washington LIVE walking and exploring The Smith Tower. Join us as we find the best things to do in Pacific ...,45:21.5
/watch?v=ewFyy1X3XVo&pp=ygUQc2VhdHRsZSB1cmJhbmlzbQ%3D%3D,/@UrbanistAriel,Urbanist,Getting Lost in Seattle (From Olympic Park Sculpture Garden),2.9K,Streamed 3 years,Let's explore Seattle Washington LIVE walking. Join us as we find the best things to do in Pacific Northwest. ——— Leave a ...,45:21.5
/shorts/o2gzn8l443E,/@j-manexplores,J-Man Explores,Rapidride B - Ranking Every King County Metro Route #transit #seattle #tierlist,1.4K,3 months,"I'm on a mission to ride every King County Metro route. In this episode, I am riding Rapidride B. The route stretches from Bellevue ...",45:21.5
/shorts/Es1Yg37BuE4,/@j-manexplores,J-Man Explores,Rapidride H - Ranking Every King County Metro Route #transit #seattle #tierlist,1K,3 months,"I'm on a mission to ride every King County Metro route. In this episode, I am riding Rapidride H. The route stretches from 3rd and ...",45:21.5
