video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=aeOCr7EHgE8&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CharlotteGOVchannel,City of Charlotte,Charlotte's 2023 Urban Design Award Winners,260,2 years,The City of Charlotte Urban Design Center and the University of North Carolina at Charlotte School of Architecture presented the ...,14:37.2
/watch?v=T7KnOljrtNM&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@unccharlotteofficial,UNC Charlotte,UNC Charlotte's UrbanEden: Being Green,254,12 years,"Charlotte, North Carolina, is a fast-growing city, committed to revitalizing its urban center as a vibrant focal point of a thriving ...",14:37.2
/watch?v=fjwGyQF__Bw&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@unccharlotteofficial,UNC Charlotte,Master of Urban Design at UNC Charlotte,4.1K,12 years,UNC Charlotte's Master of Urban Design allows students the opportunity to learn from and collaborate with a diverse group of ...,14:37.2
/watch?v=ml6S08i7das&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WBTVNews,WBTV News - Charlotte,Charlotte Urban Design Center brining the city to life,65,11 months,,14:37.2
/watch?v=tm8lhYTPzjg&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@WCNC,WCNC,Study: These suburbs near Charlotte are among the best in the country,531,3 years,Some people want to escape the hustle and bustle of a large city and settle their family down in a nice suburb. But with sprawling ...,14:37.2
/watch?v=wz2Imh1QKTo&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CharlotteGOVchannel,City of Charlotte,Congress for the New Urbanism Hosts Neighborhood Charrettes to Create People-Centered Places,234,2 years,"Within a span of 11 days, three charrettes – intense periods of collaborative design and planning – were held to focus on ...",14:37.2
/watch?v=alRtuOd7oP4&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@CitiesofLions,Cities of Lions,NFL Urbanism Episode 7 | Bank of America Stadium | Carolina Panthers,57,3 months,"Heading down to uptown Charlotte to grade the urban planning around Bank of America Stadium, the first stadium to be funded ...",14:37.2
/watch?v=NTcOLqFV5fQ&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@realizecharlotte,Realize Charlotte,"Charlotte, NC Suburbs Explained: Where Should You Live?",47K,5 months,"In this video, I'm explaining everything you need to know about Charlotte, NC, suburbs -- Where should you live in 2025?",14:37.2
/shorts/iCE_a-9f2xU,/@NYCandCharlotteNCVLog,NYC and CharlotteNC VLog,Charlotte NC - Don't Park on Tracks:( - Part1,28M,2 years,A car parked on the Lightrail tracks causes a halt in train service during rush hours. Part 2 is available on this channel.,14:44.4
/watch?v=2V0aBhat_zw&pp=ygUSQ2hhcmxvdHRlIHVyYmFuaXNt,/@livingincharlotteshawngerald,Living In Charlotte North Carolina,Why I Am Leaving Charlotte North Carolina: My Story & Insights In Charlotte NC | NC Real Estate,71K,1 year,Are you thinking about moving to Charlotte North Carolina? I'll discuss the changes and challenges that have led to my decision ...,14:44.5
